eventid,username,input,size,compCS,width,outfile,protocol,duration,height,url,keyAlgs,ttylog,data,sensor,arch,session,shasum,message,langCS,timestamp,kexAlgs,encCS,password,version,dst_port,macCS,destfile,client_fingerprint,filename
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,7fd452775eec,,Terminal Size: 24 80,,2022-09-30T17:11:24.942867Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,7fd452775eec,,Terminal Size: 24 80,,2022-09-30T17:11:26.214997Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,7fd452775eec,,Terminal Size: 24 80,,2022-09-30T17:11:59.251624Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,7fd452775eec,,Terminal Size: 24 80,,2022-09-30T17:12:33.808711Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,7fd452775eec,,Terminal Size: 24 80,,2022-09-30T17:13:36.158055Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,5e03ee41ba3e,,Terminal Size: 24 80,,2022-09-30T17:23:07.468856Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,5e03ee41ba3e,,Terminal Size: 24 80,,2022-09-30T17:23:08.881640Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,5e03ee41ba3e,,Terminal Size: 24 80,,2022-09-30T17:23:43.008545Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,5e03ee41ba3e,,Terminal Size: 24 80,,2022-09-30T17:24:16.186275Z,,,,,,,,,
cowrie.client.size,,,,,80,,,,40,,,,,fet-cowrie,,c763523dd7a2,,Terminal Size: 80 40,,2022-09-30T17:38:00.213340Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,ccb0e20123f0,,Terminal Size: 24 80,,2022-10-01T10:11:03.148593Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,b84cec10e0ed,,Terminal Size: 24 80,,2022-10-01T10:13:38.645404Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,0fc0d9a64727,,Terminal Size: 24 80,,2022-10-01T10:15:37.717651Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,0fc0d9a64727,,Terminal Size: 24 80,,2022-10-01T10:15:40.760103Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,0fc0d9a64727,,Terminal Size: 24 80,,2022-10-01T10:16:14.346722Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,0fc0d9a64727,,Terminal Size: 24 80,,2022-10-01T10:16:48.543886Z,,,,,,,,,
cowrie.client.size,,,,,24,,,,80,,,,,fet-cowrie,,107cd514cf9d,,Terminal Size: 24 80,,2022-10-01T10:36:10.087094Z,,,,,,,,,
