eventid,username,input,size,compCS,width,outfile,protocol,duration,height,url,keyAlgs,ttylog,data,sensor,arch,session,shasum,message,langCS,timestamp,kexAlgs,encCS,password,version,dst_port,macCS,destfile,client_fingerprint,filename
cowrie.command.failed,,echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,,,,,,,,,,,fet-cowrie,,fe35f4c48cc6,,Command not found: echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,2022-09-30T17:11:37.569721Z,,,,,,,,,
cowrie.command.failed,,nvidia-smi,,,,,,,,,,,,fet-cowrie,,fe35f4c48cc6,,Command not found: nvidia-smi,,2022-09-30T17:11:37.572613Z,,,,,,,,,
cowrie.command.failed,,echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,,,,,,,,,,,fet-cowrie,,e29ef70d6361,,Command not found: echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,2022-09-30T17:12:09.441986Z,,,,,,,,,
cowrie.command.failed,,nvidia-smi,,,,,,,,,,,,fet-cowrie,,e29ef70d6361,,Command not found: nvidia-smi,,2022-09-30T17:12:09.444477Z,,,,,,,,,
cowrie.command.failed,,./upnpsetup,,,,,,,,,,,,fet-cowrie,,7fd452775eec,,Command not found: ./upnpsetup,,2022-09-30T17:12:34.626640Z,,,,,,,,,
cowrie.command.failed,,echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,,,,,,,,,,,fet-cowrie,,c1dae797749d,,Command not found: echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,2022-09-30T17:12:59.458103Z,,,,,,,,,
cowrie.command.failed,,nvidia-smi,,,,,,,,,,,,fet-cowrie,,c1dae797749d,,Command not found: nvidia-smi,,2022-09-30T17:12:59.460750Z,,,,,,,,,
cowrie.command.failed,,echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,,,,,,,,,,,fet-cowrie,,fc41bf4350d0,,Command not found: echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,2022-09-30T17:13:15.201326Z,,,,,,,,,
cowrie.command.failed,,nvidia-smi,,,,,,,,,,,,fet-cowrie,,fc41bf4350d0,,Command not found: nvidia-smi,,2022-09-30T17:13:15.203952Z,,,,,,,,,
cowrie.command.failed,,echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,,,,,,,,,,,fet-cowrie,,86930845087a,,Command not found: echo root:ds234e31s123tij24jtiu233g4ji3rgg | chpasswd | bash,,2022-09-30T17:14:55.483591Z,,,,,,,,,
