eventid,username,input,size,compCS,width,outfile,protocol,duration,height,url,keyAlgs,ttylog,data,sensor,arch,session,shasum,message,langCS,timestamp,kexAlgs,encCS,password,version,dst_port,macCS,destfile,client_fingerprint,filename
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,1be2e2cfe451,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:14:48.206564Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,f6e23f8391c1,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:14:58.113156Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,715ab167510d,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:15:04.784382Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,78c317f3f57a,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:15:13.554348Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,1a922d534dc1,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:15:24.444923Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,9ebc5fe9d557,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:19:40.043476Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,b60a90c52ca3,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:19:42.507350Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,32288e68fe67,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:19:45.658775Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,6045c2f2f488,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:19:48.981428Z,,,,,,,/root/x86,,
cowrie.session.file_download,,,,,,var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,,,http://46.23.109.212/x86,,,,fet-cowrie,,7ae39b0535e6,9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,Downloaded URL (http://46.23.109.212/x86) with SHA-256 9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b to var/lib/cowrie/downloads/9dbdb2914d49ad587b937304860747072037ac880b77832c2a5b8075e0cf372b,,2022-09-30T17:19:52.531069Z,,,,,,,/root/x86,,
