eventid,username,input,size,compCS,width,outfile,protocol,duration,height,url,keyAlgs,ttylog,data,sensor,arch,session,shasum,message,langCS,timestamp,kexAlgs,encCS,password,version,dst_port,macCS,destfile,client_fingerprint,filename
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,d21398d9d9fe,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T17:36:02.006810Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,d21398d9d9fe,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T17:36:04.671088Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,e1d220c32f05,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T17:41:16.153719Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,e1d220c32f05,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T17:41:18.492104Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,add7bca6daa0,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T17:41:43.002989Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,a512c9341f8d,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T17:42:12.306638Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,fa78365eac7d,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T17:46:14.113746Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,fa78365eac7d,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T17:46:15.386940Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,6f7b33509ff9,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T18:08:15.617687Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,6f7b33509ff9,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T18:08:22.186309Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,37762121ccf4,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:02:41.731535Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,37762121ccf4,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T11:02:45.803859Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,c7b287c2e481,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:05:09.780492Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,794fbe161d80,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:07:16.353172Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,0bba7d51a5b3,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:13:11.364698Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,944caa91f726,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:14:24.267690Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,944caa91f726,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T11:14:28.012972Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,fdecd722f205,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:16:32.770397Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,a548053cee28,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T11:23:30.720736Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,a548053cee28,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T11:23:33.433358Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,f126496ed73c,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T12:34:35.143422Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,f126496ed73c,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T12:34:37.750960Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,ed32223f8471,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T12:47:10.505336Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,e8fe8238e15c,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T12:48:43.748164Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,e8fe8238e15c,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T12:48:47.779374Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,c28ff95c0e5f,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-10-01T12:55:15.839974Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,c28ff95c0e5f,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-10-01T12:55:18.172779Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,9a21b2702ccb,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T18:48:32.686480Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,9a21b2702ccb,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T18:48:35.376266Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,9c3c0de85fd5,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T18:54:40.825269Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,9c3c0de85fd5,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T18:54:43.423447Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,f8b045ad3147,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T18:56:40.046840Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,f8b045ad3147,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T18:56:42.398384Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/1sh,,,,fet-cowrie,,bc078cf5dc47,,Attempt to download file(s) from URL (http://92.207.203.157/x/1sh) failed,,2022-09-30T19:04:30.668207Z,,,,,,,,,
cowrie.session.file_download.failed,,,,,,,,,,http://92.207.203.157/x/2sh,,,,fet-cowrie,,bc078cf5dc47,,Attempt to download file(s) from URL (http://92.207.203.157/x/2sh) failed,,2022-09-30T19:04:33.339540Z,,,,,,,,,
